Groupe Sportive, Souhait
CHALONNES SUR LOIRE BASKET,PDL0049031
ELAN LIGÉRIEN BASKET,PDL0049115
GARENNES LOIRE BASKET CLUB 49,PDL0049126
POITEVINIERE LE PIN,PDL0049084
SAINT ANDRE DE LA MARCHE BASKET,PDL0049170
SPORTING CLUB BEAUCOUZE BASKET,PDL0049152
ANDARD BRAIN,PDL0049004
BASKET LA GAULOISE LA CHAPELLE ROUSSELIN,PDL0049036
CHAMP SUR LAYON USND,PDL0049032
CHOLET BASKET,PDL0049043
CHOLET JF,PDL0049045
CORON/SALLE DE VIHIERS,PDL0049050
ELAN LIGÉRIEN BASKET,PDL0049115
ESSJ GREZ NEUVILLE,PDL0049061
JUB JALLAIS BASKET,PDL0049063
LA TESSOUALLE,PDL0049124
MAULEVRIER,PDL0049074
POITEVINIERE LE PIN,PDL0049084
PUY SAINT BONNET BASKET,PDL0049093
SAINT ANDRE DE LA MARCHE BASKET,PDL0049170
SAINT CHRISTOPHE DU BOIS - ESSOR CHRISTOPHORIEN BASKET,PDL0049097
SAINTE GEMMES SUR LOIRE,PDL0049143
VAL HYROME BASKET,PDL0049027
VALLEE BASKET CLUB,PDL0049117
ANGERS ALJF,PDL0049006
AVRILLE BASKET,PDL0049012
BRISSAC AUBANCE BASKET,PDL0049024
CHAMPIGNE,PDL0049033
DENEE MOZE,PDL0049053
ETRICHE BASKET,PDL0049055
ELAN DES MAUGES,PDL0049067,2
ETOILE ANGERS BASKET,PDL0049095
ETOILE ANGERS BASKET,PDL0049095
CANDE LOIRE BASKET,PDL0049077
SAINT MARTIN DU BOIS,PDL0049110
MURS ERIGNE BASKET,PDL0049082
TOURMELAY,PDL0049128
AVENIR TREMENTINES,PDL0049131
DOUE LA FONTAINE,PDL0049054
ETOILE ANGERS BASKET,PDL0049095
SAINT CHRISTOPHE DU BOIS - ESSOR CHRISTOPHORIEN BASKET,PDL0049097
ROSIERS,PDL0049149
FENEU - REBOND FANOUIN,PDL0049198
YZERNAY,PDL0049138
ETOILE ANGERS BASKET,PDL0049095
AUTHION ENTENTE BASKET,PDL0049002
OMBREE D'ANJOU BASKET,PDL0049010
BEAUPREAU FIEF SAUVIN BASKET,PDL0049016
VERNANTES BASKET LOISIR,PDL0049029
CHEMILLE,PDL0049041
JUMELLIERE,PDL0049066
MONTREUIL BELLAY,PDL0049079
NEUVY EN MAUGES,PDL0049061
POUEZE,PDL0049091
SAINT LAURENT DE LA PLAINE,PDL0049108
MOINE BASKET,PDL0049113
SAUMUR LOIRE BASKET,PDL0049116
SEICHES BASKET,PDL0049121
TRELAZE BASKET,PDL0049130
SAINT CHRISTOPHE DU BOIS - ESSOR CHRISTOPHORIEN BASKET,PDL0049097
SAINT AUGUSTIN DES BOIS,PDL0049147
DOUE LA FONTAINE,PDL0049054
ETOILE ANGERS BASKET,PDL0049095
SAINT AUGUSTIN DES BOIS,PDL0049147
