1;1;equipe 1;1;22
2;2;equipe 2;1;24
3;3;equipe 3;1;21
4;4;equipe 4;1;23
5;5;equipe 5;1;25
6;6;equipe 6;1;20
7;7;equipe 7;1;22
8;8;equipe 8;1;24
9;9;equipe 9;1;23
10;10;equipe 10;1;21
11;11;equipe 11;1;22
12;12;equipe 12;1;24
13;13;equipe 13;1;23
14;14;equipe 14;1;25
15;15;equipe 15;1;20
16;16;equipe 16;1;22
17;1;equipe 17;2;23
18;2;equipe 18;2;21
19;3;equipe 19;2;24
20;4;equipe 20;2;22
21;5;equipe 21;2;23
22;6;equipe 22;2;25
23;7;equipe 23;2;20
24;8;equipe 24;2;22
25;9;equipe 25;2;24
26;10;equipe 26;2;23
27;11;equipe 27;2;21
28;12;equipe 28;2;22
29;13;equipe 29;2;24
30;14;equipe 30;2;23
31;15;equipe 31;2;25
32;16;equipe 32;2;20
33;1;equipe 33;3;22
34;2;equipe 34;3;23
35;3;equipe 35;3;21
36;4;equipe 36;3;24
37;5;equipe 37;3;22
38;6;equipe 38;3;23
39;7;equipe 39;3;25
40;8;equipe 40;3;20
