cd_org,lb_org,adresse,adresse_complement,lb_cmne,code_postal,lb_type_association
PDL0049000,HORS ASSOCIATION - BARRAGE,,,PONTS-DE-CE,49130,Club 
PDL0049001,CD 49 HORS ASSOCIATION,6 RUE PIERRE DE COUBERTIN,,PONTS-DE-CE,49130,Club 
PDL0049002,AUTHION ENTENTE BASKET,20 RUE ARMAND QUENARD,,ALLONNES,49650,Club 
PDL0049004,ANDARD BRAIN,MAIRIE D ANDARD,,ANDARD,49800,Club 
PDL0049005,ANGERS JND,7 RUE DE L'AUBRIERE,,ANGERS,49000,Club 
PDL0049006,ANGERS ALJF,AL JULES FERRY,2 RUE DES CAPUCINS,ANGERS,49100,Club 
PDL0049007,ANGERS ACBB BASKET,1 RUE DE LA LANDE,,ANGERS,49000,Club 
PDL0049008,ANGERS NDC,11 RUE MARCEL CERDAN,,ANGERS,49100,Club 
PDL0049009,ASSOCIATION VAL D'ERDRE AUXENCE BASKET,LE LOUROUX BECONNAIS,PLACE DE LA MAIRIE,VAL D'ERDRE-AUXENCE,49370,Club 
PDL0049010,OMBREE D'ANJOU BASKET,38 RUE MARECHAL J,,Ombrée d'Anjou,49420,Club 
PDL0049012,AVRILLE BASKET,STADE DELAUNE,,AVRILLE,49240,Club 
PDL0049014,BAUGE,BAUGE EN ANJOU,HOTEL DE VILLE,BAUGE,49150,Club 
PDL0049016,BEAUPREAU FIEF SAUVIN BASKET,26 Rue Notre Dame,,BEAUPREAU EN MAUGES,49600,Club 
PDL0049020,BOTZ LA CHAPELLE,BOTZ,1 RUE DU CHANOINE DEVEAUX,BOTZ-EN-MAUGES,49110,Club 
PDL0049023,BRIOLLAY,SECTION BASKET,MAIRIE,BRIOLLAY,49125,Club 
PDL0049024,BRISSAC AUBANCE BASKET,RUE DU MARIN,,BRISSAC LOIRE AUBANCE,49320,Club 
PDL0049026,CANTENAY EPINARD,MAIRIE,,CANTENAY-EPINARD,49460,Club 
PDL0049027,VAL HYROME BASKET,CHEMILLE-EN-ANJOU,RUE DU BEL ORMEAU,CHANZEAUX,49750,Club 
PDL0049028,ENVOL BASKET BECON ST CLEMENT,9 PLACE DE L'EGLISE,,SAINT-CLEMENT-DE-LA-PLACE,49370,Club 
PDL0049029,VERNANTES BASKET LOISIR,,MAIRIE DE VERNANTES,VERNANTES,49390,Club 
PDL0049031,CHALONNES SUR LOIRE BASKET,BASKET CHALONNAIS - SECRETARIAT,27 RUE DES MARAIS,CHALONNES-SUR-LOIRE,49290,Club 
PDL0049032,CHAMP SUR LAYON,MAIRIE CHAMP SUR LAYON,UNION SPORTIVE NOTRE DAME,CHAMP-SUR-LAYON,49380,Club 
PDL0049033,CHAMPIGNE,champigné,mairie,Hauts d'Anjou (Les),49330,Club 
PDL0049036,CHAPELLE ROUSSELIN,MAIRIE DE LA CHAPELLE,ROUSSELIN,CHEMILLE-EN-ANJOU,49120,Club 
PDL0049037,CHATEAUNEUF SUR SARTHE,MAIRIE CHATEAUNEUF,,CHATEAUNEUF-SUR-SARTHE,49330,Club 
