1;Paris Saint-Germain;2.2530;48.8414
2;Olympique de Marseille;5.3959;43.2699
3;Olympique Lyonnais;4.9820;45.7650
4;AS Monaco;7.4156;43.7275
5;LOSC Lille;3.1305;50.6119
6;Stade Rennais;-1.7128;48.1070
7;FC Nantes;-1.5250;47.2550
8;Girondins de Bordeaux;-0.5616;44.8976
9;ASVEL Basket;4.8800;45.7610
10;Limoges CSP;1.2611;45.8336
11;Élan Béarnais Pau-Lacq-Orthez;-0.3708;43.2951
12;JL Bourg Basket;5.2258;46.2057
13;Strasbourg IG;7.7550;48.5600
14;Le Mans Sarthe Basket;0.1996;48.0061
15;Cholet Basket;-0.8797;47.0583
16;Nanterre 92;2.2060;48.8924
