1;2;equipe 1;3;20
2;5;equipe 2;4;21
3;8;equipe 3;3;24
4;1;equipe 4;3;23
5;9;equipe 5;3;20
6;4;equipe 6;3;21
7;12;equipe 7;2;25
8;15;equipe 8;3;26
9;14;equipe 9;3;23
10;10;equipe 10;3;20
11;9;equipe 11;3;21
12;7;equipe 12;3;24
13;8;equipe 13;3;22
14;1;equipe 14;3;26
15;17;equipe 15;4;20
16;14;equipe 16;3;23
17;3;equipe 17;3;21
18;5;equipe 18;3;22
19;18;equipe 19;3;24
20;19;equipe 20;3;23
21;1;equipe 21;3;26
22;4;equipe 22;2;20
23;7;equipe 23;3;25
24;2;equipe 24;3;24
25;9;equipe 25;3;23
26;11;equipe 26;4;20
27;14;equipe 27;3;21
28;17;equipe 28;3;22
29;20;equipe 29;3;26
30;6;equipe 30;3;25
31;12;equipe 31;2;22
32;3;equipe 32;3;20
33;5;equipe 33;3;23
34;17;equipe 34;4;24
35;14;equipe 35;3;20
36;10;equipe 36;3;21
37;9;equipe 37;3;24
38;6;equipe 38;3;22
39;13;equipe 39;3;20
40;19;equipe 40;2;21
