cd_org,lb_org,adresse,adresse_complement,lb_cmne,code_postal,lb_type_association,longitude,latitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
PDL0049000,HORS ASSOCIATION - BARRAGE,,,PONTS-DE-CE,49130,Club ,-0.521967,47.42928,0.76539,0.6081914685314684,Les Ponts-de-Cé,municipality,49246,,Les Ponts-de-Cé,,49130,Les Ponts-de-Cé,"49, Maine-et-Loire, Pays de la Loire",49246,,,,ok
PDL0049001,CD 49 HORS ASSOCIATION,6 RUE PIERRE DE COUBERTIN,,PONTS-DE-CE,49130,Club ,-0.525775,47.441592,0.8374549323017408,,6 Rue Pierre de Coubertin 49130 Les Ponts-de-Cé,housenumber,49246_0713_00006,6,6 Rue Pierre de Coubertin,Rue Pierre de Coubertin,49130,Les Ponts-de-Cé,"49, Maine-et-Loire, Pays de la Loire",49246,,,,ok
PDL0049002,AUTHION ENTENTE BASKET,20 RUE ARMAND QUENARD,,ALLONNES,49650,Club ,0.025081,47.294879,0.8784642857142856,,Rue Armand Quénard 49650 Allonnes,street,49002_0044,,Rue Armand Quénard,Rue Armand Quénard,49650,Allonnes,"49, Maine-et-Loire, Pays de la Loire",49002,,,,ok
PDL0049004,ANDARD BRAIN,MAIRIE D ANDARD,,ANDARD,49800,Club ,-0.396297,47.45405,0.5285898086124401,0.518470110864745,Rue du Stade (Andard) 49800 Loire-Authion,street,49307_0211,,Rue du Stade (Andard),Rue du Stade (Andard),49800,Loire-Authion,"49, Maine-et-Loire, Pays de la Loire",49307,49004,Andard,,ok
PDL0049005,ANGERS JND,7 RUE DE L'AUBRIERE,,ANGERS,49000,Club ,-0.547041,47.472451,0.8069549197860961,0.6226919191919191,7 Rue de l'Aubrière 49100 Angers,housenumber,49007_0400_00007,7,7 Rue de l'Aubrière,Rue de l'Aubrière,49100,Angers,"49, Maine-et-Loire, Pays de la Loire",49007,,,,ok
PDL0049006,ANGERS ALJF,AL JULES FERRY,2 RUE DES CAPUCINS,ANGERS,49100,Club ,-0.552165,47.490811,0.6391034387351779,0.5212945454545455,2 Rue des Capucins 49100 Angers,housenumber,49007_1370_00002,2,2 Rue des Capucins,Rue des Capucins,49100,Angers,"49, Maine-et-Loire, Pays de la Loire",49007,,,,ok
PDL0049007,ANGERS ACBB BASKET,1 RUE DE LA LANDE,,ANGERS,49000,Club ,-0.594311,47.475805,0.9092266666666666,0.6886568421052631,1 Rue de la Lande 49000 Angers,housenumber,49007_4630_00001,1,1 Rue de la Lande,Rue de la Lande,49000,Angers,"49, Maine-et-Loire, Pays de la Loire",49007,,,,ok
PDL0049008,ANGERS NDC,11 RUE MARCEL CERDAN,,ANGERS,49100,Club ,-0.571663,47.482616,0.9097417630853996,,11 Rue Marcel Cerdan 49100 Angers,housenumber,49007_5168_00011,11,11 Rue Marcel Cerdan,Rue Marcel Cerdan,49100,Angers,"49, Maine-et-Loire, Pays de la Loire",49007,,,,ok
PDL0049009,ASSOCIATION VAL D'ERDRE AUXENCE BASKET,LE LOUROUX BECONNAIS,PLACE DE LA MAIRIE,VAL D'ERDRE-AUXENCE,49370,Club ,-0.884363,47.521857,0.6315853146853146,,Place de la Mairie 49370 Val d'Erdre-Auxence,street,49183_0110,,Place de la Mairie,Place de la Mairie,49370,Val d'Erdre-Auxence,"49, Maine-et-Loire, Pays de la Loire",49183,49183,Le Louroux-Béconnais,,ok
PDL0049010,OMBREE D'ANJOU BASKET,38 RUE MARECHAL J,,Ombrée d'Anjou,49420,Club ,-1.172745,47.740298,0.7600216161616161,,38 Rue du maréchal foch 49420 Ombrée d'Anjou,housenumber,49248_0600_00038,38,38 Rue du maréchal foch,Rue du maréchal foch,49420,Ombrée d'Anjou,"49, Maine-et-Loire, Pays de la Loire",49248,49248,Pouancé,,ok
PDL0049012,AVRILLE BASKET,STADE DELAUNE,,AVRILLE,49240,Club ,-0.586615,47.502096,0.5461364935064934,0.5219324675324675,Rue de la Poste 49240 Avrillé,street,49015_1000,,Rue de la Poste,Rue de la Poste,49240,Avrillé,"49, Maine-et-Loire, Pays de la Loire",49015,,,,ok
PDL0049014,BAUGE,BAUGE EN ANJOU,HOTEL DE VILLE,BAUGE,49150,Club ,-0.061152,47.510283,0.47961329153605015,,Chemin de l'Hôtel Chaperon 49150 Baugé-en-Anjou,street,49018_9093,,Chemin de l'Hôtel Chaperon,Chemin de l'Hôtel Chaperon,49150,Baugé-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49018,49031,Bocé,,ok
PDL0049016,BEAUPREAU FIEF SAUVIN BASKET,26 Rue Notre Dame,,BEAUPREAU EN MAUGES,49600,Club ,-0.991729,47.201469,0.9229630655391119,,26 Rue Notre Dame 49600 Beaupréau-en-Mauges,housenumber,49023_1440_00026,26,26 Rue Notre Dame,Rue Notre Dame,49600,Beaupréau-en-Mauges,"49, Maine-et-Loire, Pays de la Loire",49023,49023,Beaupréau,,ok
PDL0049020,BOTZ LA CHAPELLE,BOTZ,1 RUE DU CHANOINE DEVEAUX,BOTZ-EN-MAUGES,49110,Club ,-1.001278,47.306177,0.7828266433566433,,1 Rue du Chanoine Deveau 49110 Mauges-sur-Loire,housenumber,49244_0413_00001,1,1 Rue du Chanoine Deveau,Rue du Chanoine Deveau,49110,Mauges-sur-Loire,"49, Maine-et-Loire, Pays de la Loire",49244,49034,Botz-en-Mauges,,ok
PDL0049023,BRIOLLAY,SECTION BASKET,MAIRIE,BRIOLLAY,49125,Club ,-0.506398,47.564493,0.45152585858585853,,Rue de la Mairie 49125 Briollay,street,49048_0047,,Rue de la Mairie,Rue de la Mairie,49125,Briollay,"49, Maine-et-Loire, Pays de la Loire",49048,,,,ok
PDL0049024,BRISSAC AUBANCE BASKET,RUE DU MARIN,,BRISSAC LOIRE AUBANCE,49320,Club ,-0.446001,47.353337,0.911790909090909,0.7575624505928854,Rue du Marin 49320 Brissac Loire Aubance,street,49050_0264,,Rue du Marin,Rue du Marin,49320,Brissac Loire Aubance,"49, Maine-et-Loire, Pays de la Loire",49050,49050,Brissac-Quincé,,ok
PDL0049026,CANTENAY EPINARD,MAIRIE,,CANTENAY-EPINARD,49460,Club ,-0.568656,47.53188,0.6322387139689578,,Place de la Mairie 49460 Cantenay-Épinard,street,49055_lfv28c,,Place de la Mairie,Place de la Mairie,49460,Cantenay-Épinard,"49, Maine-et-Loire, Pays de la Loire",49055,,,,ok
PDL0049027,VAL HYROME BASKET,CHEMILLE-EN-ANJOU,RUE DU BEL ORMEAU,CHANZEAUX,49750,Club ,-0.643113,47.26042,0.7496935294117646,,Rue du Bel Ormeau 49750 Chemillé-en-Anjou,street,49092_1825,,Rue du Bel Ormeau,Rue du Bel Ormeau,49750,Chemillé-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49092,49071,Chanzeaux,,ok
PDL0049028,ENVOL BASKET BECON ST CLEMENT,9 PLACE DE L'EGLISE,,SAINT-CLEMENT-DE-LA-PLACE,49370,Club ,-0.744974,47.52534,0.9178148306595365,0.6446518181818182,9 Place de l'Église 49370 Saint-Clément-de-la-Place,housenumber,49271_0050_00009,9,9 Place de l'Église,Place de l'Église,49370,Saint-Clément-de-la-Place,"49, Maine-et-Loire, Pays de la Loire",49271,,,,ok
PDL0049029,VERNANTES BASKET LOISIR,,MAIRIE DE VERNANTES,VERNANTES,49390,Club ,0.05321,47.393778,0.5129229752066115,,Place de la Mairie 49390 Vernantes,street,49368_0180,,Place de la Mairie,Place de la Mairie,49390,Vernantes,"49, Maine-et-Loire, Pays de la Loire",49368,,,,ok
PDL0049031,CHALONNES SUR LOIRE BASKET,BASKET CHALONNAIS - SECRETARIAT,27 RUE DES MARAIS,CHALONNES-SUR-LOIRE,49290,Club ,-0.761444,47.348874,0.5120442424242424,0.44278088607594934,27 Rue du Marais 49290 Chalonnes-sur-Loire,housenumber,49063_0800_00027,27,27 Rue du Marais,Rue du Marais,49290,Chalonnes-sur-Loire,"49, Maine-et-Loire, Pays de la Loire",49063,,,,ok
PDL0049032,CHAMP SUR LAYON,MAIRIE CHAMP SUR LAYON,UNION SPORTIVE NOTRE DAME,CHAMP-SUR-LAYON,49380,Club ,-0.448406,47.303265,0.3294755080213903,,Place de l’Union 49380 Terranjou,street,49086_0248,,Place de l’Union,Place de l’Union,49380,Terranjou,"49, Maine-et-Loire, Pays de la Loire",49086,49227,Notre-Dame-d'Allençon,,ok
PDL0049033,CHAMPIGNE,champigné,mairie,Hauts d'Anjou (Les),49330,Club ,-0.54453,47.653473,0.732959604743083,0.7230781818181818,"le Marais, Champigné 49330 Les Hauts-d'Anjou",street,49080_tycnau,,"le Marais, Champigné","le Marais, Champigné",49330,Les Hauts-d'Anjou,"49, Maine-et-Loire, Pays de la Loire",49080,49065,Champigné,,ok
PDL0049036,CHAPELLE ROUSSELIN,MAIRIE DE LA CHAPELLE,ROUSSELIN,CHEMILLE-EN-ANJOU,49120,Club ,-0.795822,47.212418,0.6333545861601085,,Place de la Mairie de la Chapelle 49120 Chemillé-en-Anjou,street,49092_dk504f,,Place de la Mairie de la Chapelle,Place de la Mairie de la Chapelle,49120,Chemillé-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49092,49074,La Chapelle-Rousselin,,ok
PDL0049037,CHATEAUNEUF SUR SARTHE,MAIRIE CHATEAUNEUF,,CHATEAUNEUF-SUR-SARTHE,49330,Club ,-0.499486,47.685368,0.5936633872976338,,"Allée Marie de Sully, Châteauneuf-sur-Sarthe 49330 Les Hauts-d'Anjou",street,49080_sni1lh,,"Allée Marie de Sully, Châteauneuf-sur-Sarthe","Allée Marie de Sully, Châteauneuf-sur-Sarthe",49330,Les Hauts-d'Anjou,"49, Maine-et-Loire, Pays de la Loire",49080,49080,Châteauneuf-sur-Sarthe,,ok
PDL0049038,AUBRY CHAUDRON BASKET,MAIRIE CHAUDRON,,CHAUDRON-EN-MAUGES,49110,Club ,-0.943346,47.278018,0.6565718577075098,0.6445729870129869,La Charonnerie 49110 Montrevault-sur-Èvre,street,49218_ycntec,,La Charonnerie,La Charonnerie,49110,Montrevault-sur-Èvre,"49, Maine-et-Loire, Pays de la Loire",49218,49083,Chaudron-en-Mauges,,ok
PDL0049040,CHAZE SUR ARGOS,place saint julien,,SEGRE-EN-ANJOU-BLEU,49500,Club ,-0.918148,47.756027,0.503382104607721,0.503058642266824,Saint Julien l'Ardent (L'Hôtellerie-de-Flée) 49500 Segré-en-Anjou Bleu,locality,49331_E640,,Saint Julien l'Ardent (L'Hôtellerie-de-Flée),,49500,Segré-en-Anjou Bleu,"49, Maine-et-Loire, Pays de la Loire",49331,49158,L'Hôtellerie-de-Flée,,ok
PDL0049041,CHEMILLE,AVENUE D'ASPACH,,CHEMILLE-EN-ANJOU,49120,Club ,-0.716728,47.213522,0.906077226107226,,Avenue d'Aspach 49120 Chemillé-en-Anjou,street,49092_0067,,Avenue d'Aspach,Avenue d'Aspach,49120,Chemillé-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49092,49092,Chemillé,,ok
PDL0049043,CHOLET BASKET,"3 AV MARCEL PRAT BP 10,752",,CHOLET,49300,Association club professionnel,-0.897845,47.055646,0.62271088794926,0.3339509090909091,3 Avenue Marcel Prat 49300 Cholet,housenumber,49099_2819_00003,3,3 Avenue Marcel Prat,Avenue Marcel Prat,49300,Cholet,"49, Maine-et-Loire, Pays de la Loire",49099,49099,Cholet,,ok
PDL0049045,CHOLET JF,47 RUE DARMAILLACQ,,CHOLET,49300,Club ,-0.874012,47.06463,0.7236363636363635,,47 Rue Alphonse Darmaillacq 49300 Cholet,housenumber,49099_0080_00047,47,47 Rue Alphonse Darmaillacq,Rue Alphonse Darmaillacq,49300,Cholet,"49, Maine-et-Loire, Pays de la Loire",49099,49099,Cholet,,ok
PDL0049048,CORNE BASKET,MAIRIE,rue Royale,CORNE,49630,Club ,-0.348433,47.471125,0.6883056112852665,,Rue Royale 49630 Loire-Authion,street,49307_0599,,Rue Royale,Rue Royale,49630,Loire-Authion,"49, Maine-et-Loire, Pays de la Loire",49307,49106,Corné,,ok
PDL0049050,CORON/SALLE DE VIHIERS,CORON,,CORON,49690,Club ,-0.645754,47.12414,0.59674,0.455454965034965,Coron,municipality,49109,,Coron,,49690,Coron,"49, Maine-et-Loire, Pays de la Loire",49109,,,,ok
PDL0049051,ESBB ECLAIR ST BARTHELEMY,4 ROUTE DE BEAUFORT,,SAINT-BARTHELEMY-D'ANJOU,49124,Club ,-0.495051,47.466857,0.929770909090909,,4 Route de Beaufort 49124 Saint-Barthélemy-d'Anjou,housenumber,49267_0080_00004,4,4 Route de Beaufort,Route de Beaufort,49124,Saint-Barthélemy-d'Anjou,"49, Maine-et-Loire, Pays de la Loire",49267,,,,ok
PDL0049053,DENEE MOZE,SALLE DES SPORTS,Chemin des Ganaudières ,MOZE-SUR-LOUET,49610,Club ,-0.555591,47.356566,0.6602966666666666,0.42419165535956577,Chemin des Ganaudières 49610 Mozé-sur-Louet,street,49222_0016,,Chemin des Ganaudières,Chemin des Ganaudières,49610,Mozé-sur-Louet,"49, Maine-et-Loire, Pays de la Loire",49222,,,,ok
PDL0049054,DOUE LA FONTAINE,DOUE EN ANJOU,MAIRIE,Doué-en-Anjou,49700,Club ,-0.209265,47.230255,0.5724400773694391,0.5699382517482516,Rue de la mairie 49700 Doué-en-Anjou,street,49125_1441,,Rue de la mairie,Rue de la mairie,49700,Doué-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49125,49198,Meigné,,ok
