ENGAGEMENT,PHASE,CATEGORIE,CATEGORIE_SEXE,CLUB_NOM,ENTENTE,ENTENTE_CONVENTION,CTC_NOM,CTC_NUMERO,EQUIPE_NUMERO,NIVEAU,ENGAGEMENT_CHAMPIONNAT,MONTANT_CHAMPIONNAT,ENGAGEMENT_COUPE,MONTANT_COUPE,ENGAGEMENT_CHALLENGE,MONTANT_CHALLENGE,MONTANT_TOTAL,ENTRAINEUR_NOM,ENTRAINEUR_PRENOM,ENTRAINEUR_LICENCE,ENTRAINEUR_EMAIL,PACTE_NOM,PACTE_PRENOM,COMMENTAIRE,VERIFIE,DATE_VERIFIE
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ANDARD BRAIN,,,,,2,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,BASKET LA GAULOISE LA CHAPELLE ROUSSELIN,,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CHAMP SUR LAYON USND,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CHOLET BASKET,,,,,3,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CHOLET JF,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CORON/SALLE DE VIHIERS,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ELAN LIGÉRIEN BASKET,,,,,2,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ESSJ GREZ NEUVILLE,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,JUB JALLAIS BASKET,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,LA TESSOUALLE,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,MAULEVRIER,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,POITEVINIERE LE PIN,,,,,2,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,PUY SAINT BONNET BASKET,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT ANDRE DE LA MARCHE BASKET,,,CTC ANDREA MACAIROIS BASKET​,PDL0049135,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT CHRISTOPHE DU BOIS - ESSOR CHRISTOPHORIEN BASKET,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINTE GEMMES SUR LOIRE,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,VAL HYROME BASKET,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,VALLEE BASKET CLUB,,,,,8,D2,1,,,,,,,,,,,,,,,
