ENGAGEMENT,PHASE,CATEGORIE,CATEGORIE_SEXE,CLUB_NOM,CLUB_NUMERO,TYPE_EQUIPE,ENTENTE,ENTENTE_CONVENTION,CTC_NOM,CTC_NUMERO,EQUIPE_NUMERO,NIVEAU,ENGAGEMENT_CHAMPIONNAT,MONTANT_CHAMPIONNAT,ENGAGEMENT_COUPE,MONTANT_COUPE,ENGAGEMENT_CHALLENGE,MONTANT_CHALLENGE,MONTANT_TOTAL,ENTRAINEUR_NOM,ENTRAINEUR_PRENOM,ENTRAINEUR_LICENCE,ENTRAINEUR_EMAIL,PACTE_NOM,PACTE_PRENOM,COMMENTAIRE,VERIFIE,DATE_VERIFIE
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ANDARD BRAIN,PDL0049004,Club,,,,,2,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,BASKET LA GAULOISE LA CHAPELLE ROUSSELIN,PDL0049036,Club,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CHAMP SUR LAYON USND,PDL0049032,Club,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CHOLET BASKET,PDL0049043,Club,,,,,3,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CHOLET JF,PDL0049045,Club,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CORON/SALLE DE VIHIERS,PDL0049050,Club,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ELAN LIGÉRIEN BASKET,PDL0049115,Club,,,,,2,D2,1,,,,,,,,,,,,,,,*
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT ANDRE DE LA MARCHE BASKET,PDL0049170,Club,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT ANDRE DE LA MARCHE BASKET,PDL0049170,Club,,,,,1,D2,2,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ESSJ GREZ NEUVILLE,PDL0049061,Club,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,JUB JALLAIS BASKET,PDL0049063,Club,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,LA TESSOUALLE,PDL0049124,Club,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,MAULEVRIER,PDL0049074,Club,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,POITEVINIERE LE PIN,PDL0049084,Club,,,,,2,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,PUY SAINT BONNET BASKET,PDL0049093,Club,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT ANDRE DE LA MARCHE BASKET,PDL0049170,Coopération Territoriale Club,,,CTC ANDREA MACAIROIS BASKET​,PDL0049135,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT CHRISTOPHE DU BOIS - ESSOR CHRISTOPHORIEN BASKET,PDL0049097,Club,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINTE GEMMES SUR LOIRE,PDL0049143,Club,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,VAL HYROME BASKET,PDL0049027,Club,,,,,1,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,VALLEE BASKET CLUB,PDL0049117,Club,,,,,8,D2,1,,,,,,,,,,,,,,,
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT ANDRE DE LA MARCHE BASKET,PDL0049170,Coopération Territoriale Club,,,CTC ANDREA MACAIROIS BASKET​,PDL0049135,1,D2,1,,,,,,,,,,,,,,,
