ENGAGEMENT,PHASE,CATEGORIE,CATEGORIE_SEXE,CLUB_NOM,CLUB_NUMERO,TYPE_EQUIPE,ENTENTE,ENTENTE_CONVENTION,CTC_NOM,CTC_NUMERO,EQUIPE_NUMERO,NIVEAU,ENGAGEMENT_CHAMPIONNAT,MONTANT_CHAMPIONNAT,ENGAGEMENT_COUPE,MONTANT_COUPE,ENGAGEMENT_CHALLENGE,MONTANT_CHALLENGE,MONTANT_TOTAL,ENTRAINEUR_NOM,ENTRAINEUR_PRENOM,ENTRAINEUR_LICENCE,ENTRAINEUR_EMAIL,PACTE_NOM,PACTE_PRENOM,COMMENTAIRE,VERIFIE,DATE_VERIFIE,STATUT_NIVEAU
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ANGERS NDC,PDL0049008,Club,,,,,2,D5,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CANTENAY EPINARD,PDL0049026,Club,,,,,1,D5,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,AUBRY CHAUDRON BASKET,PDL0049038,Club,,,,,1,D5,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ESBB ECLAIR ST BARTHELEMY,PDL0049051,Club,,,,,3,D5,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,MARTIGNE BRIAND,PDL0049073,Club,,,,,1,D5,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,PLESSIS GRAMMOIRE,PDL0049085,Club,,,,,1,D5,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ROUSSAY VILLEDIEU,PDL0049096,Club,,,,,2,D5,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT MATHURIN SAINT REMY,PDL0049111,Club,,,,,1,D5,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT MATHURIN SAINT REMY,PDL0049111,Club,,,,,1,D5,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CHAZE SUR ARGOS,PDL0049040,Club,,,,,1,D5,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,BOTZ LA CHAPELLE,PDL0049020,Club,,,,,1,D5,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,FAYE D'ANJOU,PDL0049057,Club,,,,,1,D5,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,LAYON BASKET CLUB,PDL0049109,Club,,,,,1,D5,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CHATEAUNEUF SUR SARTHE,PDL0049037,Club,,,,,2,D5,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,VIHIERS BASKET,PDL0049104,Club,,,,,1,D5,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT MATHURIN SAINT REMY,PDL0049111,Coopération Territoriale Club,,,CTC DU JEU​,PDL0049142,1,D5,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT CHRISTOPHE DU BOIS - ESSOR CHRISTOPHORIEN BASKET,PDL0049097,Club,,,,,1,D5,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT AUGUSTIN DES BOIS,PDL0049147,Club,,,,,1,D5,3,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,MENITRE,PDL0049194,Club,,,,,1,D5,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,TIERCE,PDL0049156,Club,,,,,8,D5,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT MATHURIN SAINT REMY,PDL0049111,Coopération Territoriale Club,,,CTC DU JEU​,PDL0049142,2,D5,1,,,,,,,,,,,,,,,,=
