Catégorie;Niveau;Poule;N° Équipe;N° Club
senior;1;A;1;PDL0049143
senior;1;A;1;PDL0049032
senior;1;B;1;PDL0049097
senior;1;B;1;PDL0049093
senior;1;C;1;PDL0049036
senior;1;C;1;PDL0049050
senior;1;C;1;PDL0049027
senior;1;D;3;PDL0049043
senior;1;D;1;PDL0049045
senior;1;D;1;PDL0049170
senior;1;E;2;PDL0049004
senior;1;E;8;PDL0049117
senior;1;F;2;PDL0049084
senior;1;F;1;PDL0049063
senior;1;G;2;PDL0049115
senior;1;G;1;PDL0049061
senior;1;H;1;PDL0049074
senior;1;H;1;PDL0049124
senior;2;A;1;PDL0049063
senior;2;A;2;PDL0049170
senior;2;A;2;PDL0049084
senior;2;B;1;PDL0049124
senior;2;B;1;PDL0049170
senior;2;B;1;PDL0049074
senior;2;C;1;PDL0049050
senior;2;C;1;PDL0049027
senior;2;C;1;PDL0049036
senior;2;D;2;PDL0049170
senior;2;D;1;PDL0049097
senior;2;D;1;PDL0049093
senior;2;E;2;PDL0049004
senior;2;E;8;PDL0049117
senior;2;E;1;PDL0049032
senior;2;F;1;PDL0049170
senior;2;F;3;PDL0049043
senior;2;F;1;PDL0049045
senior;2;G;2;PDL0049115
senior;2;G;1;PDL0049061
senior;2;G;1;PDL0049143
senior;3;A;8;PDL0049117
senior;3;A;2;PDL0049004
senior;3;A;1;PDL0049032
senior;3;A;1;PDL0049027
senior;3;A;1;PDL0049061
senior;3;A;2;PDL0049115
senior;3;A;2;PDL0049143
senior;3;B;1;PDL0049097
senior;3;B;1;PDL0049093
senior;3;B;1;PDL0049124
senior;3;B;1;PDL0049074
senior;3;B;3;PDL0049043
senior;3;B;1;PDL0049045
senior;3;C;2;PDL0049084
senior;3;C;1;PDL0049050
senior;3;C;1;PDL0049063
senior;3;C;1;PDL0049036
senior;3;C;1;PDL0049170
senior;3;C;1;PDL0049143
